website,publisher,genres,requirements,name,video_hd,poster,release_date,about,rank,languages,video,link,developer
http://www.dota2.com/,Valve,"Action,Free to Play,Strategy","{'pc': {'recommended': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}, 'minimum': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}}, 'mac': {'recommended': {'os': u'', 'processor': u'', 'memory': u''}, 'minimum': {'os': u'', 'processor': u'', 'memory': u''}}}",Dota 2,"""http://cdn.akamai.steamstatic.com/steam/apps/81026/movie_max.webm?t=1400092012""","""http://cdn.akamai.steamstatic.com/steam/apps/81026/movie.293x165.jpg?t=1400092012""",9 Jul 2013,"Dota is a competitive game of action and strategy, played both professionally and casually by millions of passionate fans worldwide. Players pick from a pool of over a hundred heroes, forming two teams of five players.",1,"English,Bulgarian,Czech,Danish,Dutch,Finnish,French,German,Greek,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Portuguese-Brazil,Romanian,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese,Turkish,Ukrainian","""http://cdn.akamai.steamstatic.com/steam/apps/81026/movie480.webm?t=1400092012""",http://store.steampowered.com/app/570/,Valve
http://blog.counter-strike.net/,Valve,Action,"{'pc': {'recommended': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}, 'minimum': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}}, 'mac': {'recommended': {'os': u'', 'processor': u'', 'memory': u''}, 'minimum': {'os': u'', 'processor': u'', 'memory': u''}}}",Counter-Strike: Global Offensive,"""http://cdn.akamai.steamstatic.com/steam/apps/81958/movie_max.webm?t=1346193215""","""http://cdn.akamai.steamstatic.com/steam/apps/81958/movie.293x165.jpg?t=1346193215""",21 Aug 2012,"Counter-Strike: Global Offensive (CS: GO) will expand upon the team-based action gameplay that it pioneered when it was launched 12 years ago. CS: GO features new maps, characters, and weapons and delivers updated versions of the classic CS content (de_dust, etc.).",2,"English,Czech,Danish,Dutch,Finnish,French,German,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Portuguese-Brazil,Romanian,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese,Turkish,Bulgarian,Ukrainian","""http://cdn.akamai.steamstatic.com/steam/apps/81958/movie480.webm?t=1346193215""",http://store.steampowered.com/app/730/,Valve
http://www.teamfortress.com/,Valve,"Action,Free to Play","{'pc': {'recommended': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}, 'minimum': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}}, 'mac': {'recommended': {'os': u'', 'processor': u'', 'memory': u''}, 'minimum': {'os': u'', 'processor': u'', 'memory': u''}}}",Team Fortress 2,"""http://cdn.akamai.steamstatic.com/steam/apps/2030252/movie_max.webm?t=1385082405""","""http://cdn.akamai.steamstatic.com/steam/apps/2030252/movie.293x165.jpg?t=1385082405""",10 Oct 2007,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",3,"English,Danish,Dutch,Finnish,French,German,Italian,Japanese,Norwegian,Polish,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Traditional Chinese,Korean,Czech,Hungarian,Portuguese-Brazil,Turkish,Greek","""http://cdn.akamai.steamstatic.com/steam/apps/2030252/movie480.webm?t=1385082405""",http://store.steampowered.com/app/440/,Valve
http://www.garrysmod.com/,Valve,"Indie,Simulation","{'pc': {'recommended': {'hard_drive': u'', 'network': u'', 'memory': u'1GB RAM', 'os': u'', 'processor': u'Pentium 4 processor (3.0GHz, or better)', 'directx': u''}, 'minimum': {'hard_drive': u'150 MB', 'network': u'', 'memory': u'512MB RAM', 'os': u'Windows\xae Vista/XP/2000', 'processor': u'1.7 GHz Processor', 'directx': u''}}, 'mac': {'recommended': {'os': u'', 'processor': u'Pentium 4 processor (3.0GHz, or better)', 'memory': u'1GB RAM'}, 'minimum': {'os': u'Windows\xae Vista/XP/2000', 'processor': u'1.7 GHz Processor', 'memory': u'512MB RAM'}}}",Garry's Mod,,,29 Nov 2006,Garry's Mod is a physics sandbox. Unlike regular games there aren't any predefined aims or goals. We give you the tools and leave you to play.,4,English,,http://store.steampowered.com/app/4000/,Facepunch Studios
,,,"{'pc': {'recommended': {'hard_drive': '', 'network': '', 'memory': '', 'os': '', 'processor': '', 'directx': ''}, 'minimum': {'hard_drive': '', 'network': '', 'memory': '', 'os': '', 'processor': '', 'directx': ''}}, 'mac': {'recommended': {'os': '', 'processor': '', 'memory': ''}, 'minimum': {'os': '', 'processor': '', 'memory': ''}}}",,,,,,5,,,http://store.steampowered.com/agecheck/app/72850/,
http://www.civilization.com,2K Games,Strategy,"{'pc': {'recommended': {'hard_drive': u'8 GB Free', 'network': u'', 'memory': u'4 GB RAM', 'os': u'Windows\xae Vista SP2/ Windows\xae 7', 'processor': u'1.8 GHz Quad Core CPU', 'directx': u'DirectX\xae version 11'}, 'minimum': {'hard_drive': u'8 GB Free', 'network': u'', 'memory': u'2GB RAM', 'os': u'Windows\xae XP SP3/ Windows\xae Vista SP2/ Windows\xae 7', 'processor': u'Intel Core 2 Duo 1.8 GHz or AMD Athlon X2 64 2.0 GHz', 'directx': u'DirectX\xae version 9.0c'}}, 'mac': {'recommended': {'os': u'Windows\xae Vista SP2/ Windows\xae 7', 'processor': u'1.8 GHz Quad Core CPU', 'memory': u'4 GB RAM'}, 'minimum': {'os': u'Windows\xae XP SP3/ Windows\xae Vista SP2/ Windows\xae 7', 'processor': u'Intel Core 2 Duo 1.8 GHz or AMD Athlon X2 64 2.0 GHz', 'memory': u'2GB RAM'}}}",Sid Meier's Civilization® V,"""http://cdn.akamai.steamstatic.com/steam/apps/5690/movie_max.webm?t=1273185407""","""http://cdn.akamai.steamstatic.com/steam/apps/5690/movie.293x165.jpg?t=1273185407""",23 Sep 2010,"Create, discover, and download new player-created maps, scenarios, interfaces, and more!",6,"English,French,German,Italian,Spanish,Polish,Japanese,Korean,Russian,Traditional Chinese","""http://cdn.akamai.steamstatic.com/steam/apps/5690/movie480.webm?t=1273185407""",http://store.steampowered.com/app/8930/,Firaxis Games
,,,"{'pc': {'recommended': {'hard_drive': '', 'network': '', 'memory': '', 'os': '', 'processor': '', 'directx': ''}, 'minimum': {'hard_drive': '', 'network': '', 'memory': '', 'os': '', 'processor': '', 'directx': ''}}, 'mac': {'recommended': {'os': '', 'processor': '', 'memory': ''}, 'minimum': {'os': '', 'processor': '', 'memory': ''}}}",,,,,,7,,,http://store.steampowered.com/agecheck/app/218620/,
,,,"{'pc': {'recommended': {'hard_drive': '', 'network': '', 'memory': '', 'os': '', 'processor': '', 'directx': ''}, 'minimum': {'hard_drive': '', 'network': '', 'memory': '', 'os': '', 'processor': '', 'directx': ''}}, 'mac': {'recommended': {'os': '', 'processor': '', 'memory': ''}, 'minimum': {'os': '', 'processor': '', 'memory': ''}}}",,,,,,8,,,http://store.steampowered.com/agecheck/app/49520/,
http://www.footballmanager.com/,SEGA,"Simulation,Sports","{'pc': {'recommended': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}, 'minimum': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}}, 'mac': {'recommended': {'os': u'', 'processor': u'', 'memory': u''}, 'minimum': {'os': u'', 'processor': u'', 'memory': u''}}}",Football Manager 2014,,,30 Oct 2013,"- Play it whenever, wherever, however Play on Linux for the first time, plus the inclusion of ‘cloud-save’ technology which means that managers can now pursue a single career from any computer, anywhere in the world.",9,"English,French,Italian,Spanish,Czech,Danish,Dutch,Norwegian,Polish,Portuguese,Swedish,Turkish,Greek,Portuguese-Brazil",,http://store.steampowered.com/app/231670/,Sports Interactive
http://www.terraria.org/,Re-Logic,"Action,Adventure,Indie,RPG","{'pc': {'recommended': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}, 'minimum': {'hard_drive': u'', 'network': u'', 'memory': u'', 'os': u'', 'processor': u'', 'directx': u''}}, 'mac': {'recommended': {'os': '', 'processor': '', 'memory': ''}, 'minimum': {'os': '', 'processor': '', 'memory': ''}}}",Terraria,"""http://cdn.akamai.steamstatic.com/steam/apps/2029566/movie_max.webm?t=1380565329""","""http://cdn.akamai.steamstatic.com/steam/apps/2029566/movie.293x165.jpg?t=1380565329""",16 May 2011,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",10,English,"""http://cdn.akamai.steamstatic.com/steam/apps/2029566/movie480.webm?t=1380565329""",http://store.steampowered.com/app/105600/,Re-Logic
